,movie,year,imdb,metascore,votes,grade,runtime,genre,n_imdb
1753,X-Men: Days of Future Past,2014,8,75,631163,PG-13,132 min,"Action, Adventure, Sci-Fi            ",80
1754,Edge of Tomorrow,2014,7.9,71,557537,PG-13,113 min,"Action, Sci-Fi            ",79
1755,Kingsman: The Secret Service,2014,7.7,60,555019,R,129 min,"Action, Adventure, Comedy            ",77
1756,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,531981,R,119 min,"Comedy, Drama            ",77
1757,John Wick,2014,7.4,68,480671,R,101 min,"Action, Crime, Thriller            ",74
1758,The Hobbit: The Battle of the Five Armies,2014,7.4,59,445854,PG-13,144 min,"Adventure, Fantasy            ",74
1759,Ex Machina,2014,7.7,78,434595,R,108 min,"Drama, Mystery, Sci-Fi            ",77
1760,Nightcrawler,2014,7.9,76,416591,R,117 min,"Crime, Drama, Thriller            ",79
1761,Lucy,2014,6.4,61,410545,R,89 min,"Action, Sci-Fi, Thriller            ",64
1762,American Sniper,2014,7.3,72,409052,R,133 min,"Action, Biography, Drama            ",73
1763,Divergent,2014,6.7,48,404848,PG-13,139 min,"Action, Adventure, Mystery            ",67
1764,The Amazing Spider-Man 2,2014,6.6,53,395625,PG-13,142 min,"Action, Adventure, Sci-Fi            ",66
1765,Dawn of the Planet of the Apes,2014,7.6,79,395041,PG-13,130 min,"Action, Adventure, Drama            ",76
1766,The Maze Runner,2014,6.8,57,393416,PG-13,113 min,"Action, Mystery, Sci-Fi            ",68
1767,Fury,2014,7.6,64,390656,R,134 min,"Action, Drama, War            ",76
1768,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,386181,PG-13,123 min,"Action, Adventure, Sci-Fi            ",66
1769,Big Hero 6,2014,7.8,74,380353,PG,102 min,"Animation, Action, Adventure            ",78
1770,The Theory of Everything,2014,7.7,72,368849,PG-13,123 min,"Biography, Drama, Romance            ",77
1771,Godzilla,2014,6.4,62,359020,PG-13,123 min,"Action, Adventure, Sci-Fi            ",64
1772,22 Jump Street,2014,7,71,325502,R,112 min,"Action, Comedy, Crime            ",70
1773,The Fault in Our Stars,2014,7.7,69,321561,PG-13,126 min,"Drama, Romance            ",77
1774,Boyhood,2014,7.9,100,319599,R,165 min,Drama            ,79
1775,Maleficent,2014,7,56,314190,PG,97 min,"Action, Adventure, Family            ",70
