,movie,year,imdb,metascore,votes,grade,runtime,genre,n_imdb
3099,Dunkirk,2017,7.9,94,484214,PG-13,106 min,"Action, Drama, History            ",79
3100,Star Wars: Episode VIII - The Last Jedi,2017,7.1,85,479054,PG-13,152 min,"Action, Adventure, Fantasy            ",71
3101,Spider-Man: Homecoming,2017,7.4,73,456923,PG-13,133 min,"Action, Adventure, Sci-Fi            ",74
3102,Get Out,2017,7.7,84,424806,R,104 min,"Horror, Mystery, Thriller            ",77
3103,It,2017,7.4,69,401000,R,135 min,Horror            ,74
3104,Blade Runner 2049,2017,8,81,396193,R,164 min,"Action, Drama, Mystery            ",80
3105,Baby Driver,2017,7.6,86,383988,R,113 min,"Action, Crime, Drama            ",76
3106,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,364076,R,115 min,"Crime, Drama            ",82
3107,Justice League,2017,6.4,45,343061,PG-13,120 min,"Action, Adventure, Fantasy            ",64
3108,The Shape of Water,2017,7.3,87,323760,R,123 min,"Adventure, Drama, Fantasy            ",73
3109,John Wick: Chapter 2,2017,7.5,75,317445,R,122 min,"Action, Crime, Thriller            ",75
3110,Coco,2017,8.4,81,300584,PG,105 min,"Animation, Adventure, Family            ",84
3111,Jumanji: Welcome to the Jungle,2017,6.9,58,255299,PG-13,119 min,"Action, Adventure, Comedy            ",69
3112,Beauty and the Beast,2017,7.2,65,246788,PG,129 min,"Family, Fantasy, Musical            ",72
3113,Kong: Skull Island,2017,6.6,62,246574,PG-13,118 min,"Action, Adventure, Fantasy            ",66
3114,Kingsman: The Golden Circle,2017,6.8,44,240913,R,141 min,"Action, Adventure, Comedy            ",68
3115,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,236445,PG-13,129 min,"Action, Adventure, Fantasy            ",66
3116,Alien: Covenant,2017,6.4,65,233431,R,122 min,"Horror, Sci-Fi, Thriller            ",64
3117,War for the Planet of the Apes,2017,7.4,82,208188,PG-13,140 min,"Action, Adventure, Drama            ",74
3118,The Greatest Showman,2017,7.6,48,207282,PG,105 min,"Biography, Drama, Musical            ",76
3119,Life,2017,6.6,54,188070,R,104 min,"Horror, Sci-Fi, Thriller            ",66
3120,Lady Bird,2017,7.4,94,187420,R,94 min,"Comedy, Drama            ",74
3121,The Fate of the Furious,2017,6.7,56,187163,PG-13,136 min,"Action, Adventure, Thriller            ",67
3122,Murder on the Orient Express,2017,6.5,52,184792,PG-13,114 min,"Crime, Drama, Mystery            ",65
3123,Ghost in the Shell,2017,6.3,52,182079,PG-13,107 min,"Action, Drama, Sci-Fi            ",63
3124,Wind River,2017,7.7,73,177216,R,107 min,"Crime, Drama, Mystery            ",77
3125,King Arthur: Legend of the Sword,2017,6.8,41,174108,PG-13,126 min,"Action, Adventure, Drama            ",68
3126,The Hitman's Bodyguard,2017,6.9,47,167814,R,118 min,"Action, Comedy, Thriller            ",69
3127,Mother!,2017,6.6,75,166239,R,121 min,"Drama, Horror, Mystery            ",66
3128,Call Me by Your Name,2017,7.9,93,164263,R,132 min,"Drama, Romance            ",79
3129,The Mummy,2017,5.5,34,159573,PG-13,110 min,"Action, Adventure, Fantasy            ",55
3130,Atomic Blonde,2017,6.7,63,157169,R,115 min,"Action, Mystery, Thriller            ",67
3131,Bright,2017,6.4,29,152904,TV-MA,117 min,"Action, Crime, Fantasy            ",64
3132,"I, Tonya",2017,7.5,77,150058,R,120 min,"Biography, Comedy, Drama            ",75
3133,Valerian and the City of a Thousand Planets,2017,6.5,51,146102,PG-13,137 min,"Action, Adventure, Fantasy            ",65
3134,Baywatch,2017,5.5,37,144310,R,116 min,"Action, Comedy, Crime            ",55
3135,Darkest Hour,2017,7.4,75,143781,PG-13,125 min,"Biography, Drama, History            ",74
3136,American Made,2017,7.1,65,138752,R,115 min,"Action, Biography, Comedy            ",71
3137,Transformers: The Last Knight,2017,5.2,27,123458,PG-13,154 min,"Action, Adventure, Sci-Fi            ",52
3138,Logan,2017,8.1,77,582239,R,137 min,"Action, Drama, Sci-Fi            ",81
3139,Thor: Ragnarok,2017,7.9,74,514350,PG-13,130 min,"Action, Adventure, Comedy            ",79
3140,Guardians of the Galaxy Vol. 2,2017,7.6,67,507470,PG-13,136 min,"Action, Adventure, Comedy            ",76
3141,Wonder Woman,2017,7.4,76,504036,PG-13,141 min,"Action, Adventure, Fantasy            ",74
3142,Dunkirk,2017,7.9,94,484214,PG-13,106 min,"Action, Drama, History            ",79
3143,Star Wars: Episode VIII - The Last Jedi,2017,7.1,85,479054,PG-13,152 min,"Action, Adventure, Fantasy            ",71
3144,Spider-Man: Homecoming,2017,7.4,73,456923,PG-13,133 min,"Action, Adventure, Sci-Fi            ",74
3145,Get Out,2017,7.7,84,424806,R,104 min,"Horror, Mystery, Thriller            ",77
3146,It,2017,7.4,69,401000,R,135 min,Horror            ,74
3147,Blade Runner 2049,2017,8,81,396193,R,164 min,"Action, Drama, Mystery            ",80
3148,Baby Driver,2017,7.6,86,383988,R,113 min,"Action, Crime, Drama            ",76
3149,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,364076,R,115 min,"Crime, Drama            ",82
3150,Justice League,2017,6.4,45,343061,PG-13,120 min,"Action, Adventure, Fantasy            ",64
3151,The Shape of Water,2017,7.3,87,323760,R,123 min,"Adventure, Drama, Fantasy            ",73
3152,John Wick: Chapter 2,2017,7.5,75,317445,R,122 min,"Action, Crime, Thriller            ",75
3153,Coco,2017,8.4,81,300584,PG,105 min,"Animation, Adventure, Family            ",84
3154,Jumanji: Welcome to the Jungle,2017,6.9,58,255299,PG-13,119 min,"Action, Adventure, Comedy            ",69
3155,Beauty and the Beast,2017,7.2,65,246788,PG,129 min,"Family, Fantasy, Musical            ",72
3156,Kong: Skull Island,2017,6.6,62,246574,PG-13,118 min,"Action, Adventure, Fantasy            ",66
3157,Kingsman: The Golden Circle,2017,6.8,44,240913,R,141 min,"Action, Adventure, Comedy            ",68
3158,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,236445,PG-13,129 min,"Action, Adventure, Fantasy            ",66
3159,Alien: Covenant,2017,6.4,65,233431,R,122 min,"Horror, Sci-Fi, Thriller            ",64
3160,War for the Planet of the Apes,2017,7.4,82,208188,PG-13,140 min,"Action, Adventure, Drama            ",74
3161,The Greatest Showman,2017,7.6,48,207282,PG,105 min,"Biography, Drama, Musical            ",76
3162,Life,2017,6.6,54,188070,R,104 min,"Horror, Sci-Fi, Thriller            ",66
3163,Lady Bird,2017,7.4,94,187420,R,94 min,"Comedy, Drama            ",74
3164,The Fate of the Furious,2017,6.7,56,187163,PG-13,136 min,"Action, Adventure, Thriller            ",67
3165,Murder on the Orient Express,2017,6.5,52,184792,PG-13,114 min,"Crime, Drama, Mystery            ",65
3166,Ghost in the Shell,2017,6.3,52,182079,PG-13,107 min,"Action, Drama, Sci-Fi            ",63
3167,Wind River,2017,7.7,73,177216,R,107 min,"Crime, Drama, Mystery            ",77
3168,King Arthur: Legend of the Sword,2017,6.8,41,174108,PG-13,126 min,"Action, Adventure, Drama            ",68
3169,The Hitman's Bodyguard,2017,6.9,47,167814,R,118 min,"Action, Comedy, Thriller            ",69
3170,Mother!,2017,6.6,75,166239,R,121 min,"Drama, Horror, Mystery            ",66
3171,Call Me by Your Name,2017,7.9,93,164263,R,132 min,"Drama, Romance            ",79
3172,The Mummy,2017,5.5,34,159573,PG-13,110 min,"Action, Adventure, Fantasy            ",55
3173,Atomic Blonde,2017,6.7,63,157169,R,115 min,"Action, Mystery, Thriller            ",67
3174,Bright,2017,6.4,29,152904,TV-MA,117 min,"Action, Crime, Fantasy            ",64
3175,"I, Tonya",2017,7.5,77,150058,R,120 min,"Biography, Comedy, Drama            ",75
3176,Valerian and the City of a Thousand Planets,2017,6.5,51,146102,PG-13,137 min,"Action, Adventure, Fantasy            ",65
3177,Baywatch,2017,5.5,37,144310,R,116 min,"Action, Comedy, Crime            ",55
3178,Darkest Hour,2017,7.4,75,143781,PG-13,125 min,"Biography, Drama, History            ",74
3179,American Made,2017,7.1,65,138752,R,115 min,"Action, Biography, Comedy            ",71
3180,Transformers: The Last Knight,2017,5.2,27,123458,PG-13,154 min,"Action, Adventure, Sci-Fi            ",52
3181,Logan,2017,8.1,77,582239,R,137 min,"Action, Drama, Sci-Fi            ",81
3182,Thor: Ragnarok,2017,7.9,74,514350,PG-13,130 min,"Action, Adventure, Comedy            ",79
3183,Guardians of the Galaxy Vol. 2,2017,7.6,67,507470,PG-13,136 min,"Action, Adventure, Comedy            ",76
3184,Wonder Woman,2017,7.4,76,504036,PG-13,141 min,"Action, Adventure, Fantasy            ",74
3185,Dunkirk,2017,7.9,94,484214,PG-13,106 min,"Action, Drama, History            ",79
3186,Star Wars: Episode VIII - The Last Jedi,2017,7.1,85,479054,PG-13,152 min,"Action, Adventure, Fantasy            ",71
3187,Spider-Man: Homecoming,2017,7.4,73,456923,PG-13,133 min,"Action, Adventure, Sci-Fi            ",74
3188,Get Out,2017,7.7,84,424806,R,104 min,"Horror, Mystery, Thriller            ",77
3189,It,2017,7.4,69,401000,R,135 min,Horror            ,74
3190,Blade Runner 2049,2017,8,81,396193,R,164 min,"Action, Drama, Mystery            ",80
3191,Baby Driver,2017,7.6,86,383988,R,113 min,"Action, Crime, Drama            ",76
3192,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,364076,R,115 min,"Crime, Drama            ",82
3193,Justice League,2017,6.4,45,343061,PG-13,120 min,"Action, Adventure, Fantasy            ",64
3194,The Shape of Water,2017,7.3,87,323760,R,123 min,"Adventure, Drama, Fantasy            ",73
3195,John Wick: Chapter 2,2017,7.5,75,317445,R,122 min,"Action, Crime, Thriller            ",75
3196,Coco,2017,8.4,81,300584,PG,105 min,"Animation, Adventure, Family            ",84
3197,Jumanji: Welcome to the Jungle,2017,6.9,58,255299,PG-13,119 min,"Action, Adventure, Comedy            ",69
3198,Beauty and the Beast,2017,7.2,65,246788,PG,129 min,"Family, Fantasy, Musical            ",72
3199,Kong: Skull Island,2017,6.6,62,246574,PG-13,118 min,"Action, Adventure, Fantasy            ",66
3200,Kingsman: The Golden Circle,2017,6.8,44,240913,R,141 min,"Action, Adventure, Comedy            ",68
3201,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,236445,PG-13,129 min,"Action, Adventure, Fantasy            ",66
3202,Alien: Covenant,2017,6.4,65,233431,R,122 min,"Horror, Sci-Fi, Thriller            ",64
3203,War for the Planet of the Apes,2017,7.4,82,208188,PG-13,140 min,"Action, Adventure, Drama            ",74
3204,The Greatest Showman,2017,7.6,48,207282,PG,105 min,"Biography, Drama, Musical            ",76
3205,Life,2017,6.6,54,188070,R,104 min,"Horror, Sci-Fi, Thriller            ",66
3206,Lady Bird,2017,7.4,94,187420,R,94 min,"Comedy, Drama            ",74
3207,The Fate of the Furious,2017,6.7,56,187163,PG-13,136 min,"Action, Adventure, Thriller            ",67
3208,Murder on the Orient Express,2017,6.5,52,184792,PG-13,114 min,"Crime, Drama, Mystery            ",65
3209,Ghost in the Shell,2017,6.3,52,182079,PG-13,107 min,"Action, Drama, Sci-Fi            ",63
3210,Wind River,2017,7.7,73,177216,R,107 min,"Crime, Drama, Mystery            ",77
3211,King Arthur: Legend of the Sword,2017,6.8,41,174108,PG-13,126 min,"Action, Adventure, Drama            ",68
3212,The Hitman's Bodyguard,2017,6.9,47,167814,R,118 min,"Action, Comedy, Thriller            ",69
3213,Mother!,2017,6.6,75,166239,R,121 min,"Drama, Horror, Mystery            ",66
3214,Call Me by Your Name,2017,7.9,93,164263,R,132 min,"Drama, Romance            ",79
3215,The Mummy,2017,5.5,34,159573,PG-13,110 min,"Action, Adventure, Fantasy            ",55
3216,Atomic Blonde,2017,6.7,63,157169,R,115 min,"Action, Mystery, Thriller            ",67
3217,Bright,2017,6.4,29,152904,TV-MA,117 min,"Action, Crime, Fantasy            ",64
3218,"I, Tonya",2017,7.5,77,150058,R,120 min,"Biography, Comedy, Drama            ",75
3219,Valerian and the City of a Thousand Planets,2017,6.5,51,146102,PG-13,137 min,"Action, Adventure, Fantasy            ",65
3220,Baywatch,2017,5.5,37,144310,R,116 min,"Action, Comedy, Crime            ",55
3221,Darkest Hour,2017,7.4,75,143781,PG-13,125 min,"Biography, Drama, History            ",74
3222,American Made,2017,7.1,65,138752,R,115 min,"Action, Biography, Comedy            ",71
3223,Transformers: The Last Knight,2017,5.2,27,123458,PG-13,154 min,"Action, Adventure, Sci-Fi            ",52
3224,Logan,2017,8.1,77,582239,R,137 min,"Action, Drama, Sci-Fi            ",81
3225,Thor: Ragnarok,2017,7.9,74,514350,PG-13,130 min,"Action, Adventure, Comedy            ",79
3226,Guardians of the Galaxy Vol. 2,2017,7.6,67,507470,PG-13,136 min,"Action, Adventure, Comedy            ",76
3227,Wonder Woman,2017,7.4,76,504036,PG-13,141 min,"Action, Adventure, Fantasy            ",74
3228,Dunkirk,2017,7.9,94,484214,PG-13,106 min,"Action, Drama, History            ",79
3229,Star Wars: Episode VIII - The Last Jedi,2017,7.1,85,479054,PG-13,152 min,"Action, Adventure, Fantasy            ",71
3230,Spider-Man: Homecoming,2017,7.4,73,456923,PG-13,133 min,"Action, Adventure, Sci-Fi            ",74
3231,Get Out,2017,7.7,84,424806,R,104 min,"Horror, Mystery, Thriller            ",77
3232,It,2017,7.4,69,401000,R,135 min,Horror            ,74
3233,Blade Runner 2049,2017,8,81,396193,R,164 min,"Action, Drama, Mystery            ",80
3234,Baby Driver,2017,7.6,86,383988,R,113 min,"Action, Crime, Drama            ",76
3235,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,364076,R,115 min,"Crime, Drama            ",82
3236,Justice League,2017,6.4,45,343061,PG-13,120 min,"Action, Adventure, Fantasy            ",64
3237,The Shape of Water,2017,7.3,87,323760,R,123 min,"Adventure, Drama, Fantasy            ",73
3238,John Wick: Chapter 2,2017,7.5,75,317445,R,122 min,"Action, Crime, Thriller            ",75
3239,Coco,2017,8.4,81,300584,PG,105 min,"Animation, Adventure, Family            ",84
3240,Jumanji: Welcome to the Jungle,2017,6.9,58,255299,PG-13,119 min,"Action, Adventure, Comedy            ",69
3241,Beauty and the Beast,2017,7.2,65,246788,PG,129 min,"Family, Fantasy, Musical            ",72
3242,Kong: Skull Island,2017,6.6,62,246574,PG-13,118 min,"Action, Adventure, Fantasy            ",66
3243,Kingsman: The Golden Circle,2017,6.8,44,240913,R,141 min,"Action, Adventure, Comedy            ",68
3244,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,236445,PG-13,129 min,"Action, Adventure, Fantasy            ",66
3245,Alien: Covenant,2017,6.4,65,233431,R,122 min,"Horror, Sci-Fi, Thriller            ",64
3246,War for the Planet of the Apes,2017,7.4,82,208188,PG-13,140 min,"Action, Adventure, Drama            ",74
3247,The Greatest Showman,2017,7.6,48,207282,PG,105 min,"Biography, Drama, Musical            ",76
3248,Life,2017,6.6,54,188070,R,104 min,"Horror, Sci-Fi, Thriller            ",66
3249,Lady Bird,2017,7.4,94,187420,R,94 min,"Comedy, Drama            ",74
3250,The Fate of the Furious,2017,6.7,56,187163,PG-13,136 min,"Action, Adventure, Thriller            ",67
3251,Murder on the Orient Express,2017,6.5,52,184792,PG-13,114 min,"Crime, Drama, Mystery            ",65
3252,Ghost in the Shell,2017,6.3,52,182079,PG-13,107 min,"Action, Drama, Sci-Fi            ",63
3253,Wind River,2017,7.7,73,177216,R,107 min,"Crime, Drama, Mystery            ",77
3254,King Arthur: Legend of the Sword,2017,6.8,41,174108,PG-13,126 min,"Action, Adventure, Drama            ",68
3255,The Hitman's Bodyguard,2017,6.9,47,167814,R,118 min,"Action, Comedy, Thriller            ",69
3256,Mother!,2017,6.6,75,166239,R,121 min,"Drama, Horror, Mystery            ",66
3257,Call Me by Your Name,2017,7.9,93,164263,R,132 min,"Drama, Romance            ",79
3258,The Mummy,2017,5.5,34,159573,PG-13,110 min,"Action, Adventure, Fantasy            ",55
3259,Atomic Blonde,2017,6.7,63,157169,R,115 min,"Action, Mystery, Thriller            ",67
3260,Bright,2017,6.4,29,152904,TV-MA,117 min,"Action, Crime, Fantasy            ",64
3261,"I, Tonya",2017,7.5,77,150058,R,120 min,"Biography, Comedy, Drama            ",75
3262,Valerian and the City of a Thousand Planets,2017,6.5,51,146102,PG-13,137 min,"Action, Adventure, Fantasy            ",65
3263,Baywatch,2017,5.5,37,144310,R,116 min,"Action, Comedy, Crime            ",55
3264,Darkest Hour,2017,7.4,75,143781,PG-13,125 min,"Biography, Drama, History            ",74
3265,American Made,2017,7.1,65,138752,R,115 min,"Action, Biography, Comedy            ",71
3266,Transformers: The Last Knight,2017,5.2,27,123458,PG-13,154 min,"Action, Adventure, Sci-Fi            ",52
3267,Avengers: Infinity War,2018,8.5,68,717992,PG-13,149 min,"Action, Adventure, Sci-Fi            ",85
3268,Black Panther,2018,7.3,88,546673,PG-13,134 min,"Action, Adventure, Sci-Fi            ",73
3269,Deadpool 2,2018,7.7,66,420281,R,119 min,"Action, Adventure, Comedy            ",77
3270,Bohemian Rhapsody,2018,8,49,387597,PG-13,134 min,"Biography, Drama, Music            ",80
3271,A Quiet Place,2018,7.5,82,328513,PG-13,90 min,"Drama, Horror, Sci-Fi            ",75
3272,Ready Player One,2018,7.5,64,317846,PG-13,140 min,"Action, Adventure, Sci-Fi            ",75
3273,Venom,2018,6.7,35,308403,PG-13,112 min,"Action, Sci-Fi, Thriller            ",67
3274,Aquaman,2018,7,55,305049,PG-13,143 min,"Action, Adventure, Fantasy            ",70
3275,A Star Is Born,2018,7.7,88,280151,R,136 min,"Drama, Music, Romance            ",77
3276,Spider-Man: Into the Spider-Verse,2018,8.4,87,268676,PG,117 min,"Animation, Action, Adventure            ",84
3277,Ant-Man and the Wasp,2018,7.1,70,263706,PG-13,118 min,"Action, Adventure, Comedy            ",71
3278,Green Book,2018,8.2,69,251782,PG-13,130 min,"Biography, Comedy, Drama            ",82
3279,Mission: Impossible - Fallout,2018,7.8,86,249803,PG-13,147 min,"Action, Adventure, Thriller            ",78
3280,Annihilation,2018,6.9,79,242017,R,115 min,"Adventure, Drama, Horror            ",69
3281,Solo: A Star Wars Story,2018,6.9,62,239555,PG-13,135 min,"Action, Adventure, Fantasy            ",69
3282,Bird Box,2018,6.6,51,235416,R,124 min,"Drama, Horror, Sci-Fi            ",66
3283,Jurassic World: Fallen Kingdom,2018,6.2,51,231389,PG-13,128 min,"Action, Adventure, Sci-Fi            ",62
3284,Incredibles 2,2018,7.7,80,217235,PG,118 min,"Animation, Action, Adventure            ",77
3285,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,182758,PG-13,134 min,"Adventure, Family, Fantasy            ",66
3286,Hereditary,2018,7.3,87,176349,R,127 min,"Drama, Horror, Mystery            ",73
3287,Game Night,2018,6.9,66,172440,R,100 min,"Action, Comedy, Crime            ",69
3288,Tomb Raider,2018,6.3,48,170734,PG-13,119 min,"Action, Adventure, Fantasy            ",63
3289,BlacKkKlansman,2018,7.5,83,166219,R,135 min,"Biography, Crime, Drama            ",75
3290,Ocean's Eight,2018,6.2,61,154647,PG-13,110 min,"Action, Comedy, Crime            ",62
3291,Red Sparrow,2018,6.6,53,144471,R,140 min,"Action, Drama, Thriller            ",66
3292,First Man,2018,7.3,84,136872,PG-13,141 min,"Biography, Drama, History            ",73
3293,The Favourite,2018,7.6,90,133606,R,119 min,"Biography, Drama, History            ",76
3294,The Meg,2018,5.7,46,125300,PG-13,113 min,"Action, Horror, Sci-Fi            ",57
3295,Rampage,2018,6.1,45,122819,PG-13,107 min,"Action, Adventure, Sci-Fi            ",61
3296,Upgrade,2018,7.5,67,116979,R,100 min,"Action, Horror, Sci-Fi            ",75
3297,Isle of Dogs,2018,7.9,82,116007,PG-13,101 min,"Animation, Adventure, Comedy            ",79
3298,Roma,2018,7.8,96,115176,R,135 min,Drama            ,78
3299,Searching,2018,7.7,71,111575,PG-13,102 min,"Drama, Mystery, Thriller            ",77
3300,Crazy Rich Asians,2018,6.9,74,110366,PG-13,120 min,"Comedy, Drama, Romance            ",69
3301,Bumblebee,2018,6.8,66,108659,PG-13,114 min,"Action, Adventure, Sci-Fi            ",68
3302,The Equalizer 2,2018,6.7,50,107436,R,121 min,"Action, Crime, Thriller            ",67
3303,Bad Times at the El Royale,2018,7.1,60,103787,R,141 min,"Crime, Drama, Mystery            ",71
3304,Sicario: Day of the Soldado,2018,7.1,61,103786,R,122 min,"Action, Crime, Drama            ",71
3305,Ralph Breaks the Internet,2018,7.1,71,103685,PG,112 min,"Animation, Adventure, Comedy            ",71
3306,The Predator,2018,5.4,48,102975,R,107 min,"Action, Adventure, Sci-Fi            ",54
3307,The Nun,2018,5.3,46,100165,R,96 min,"Horror, Mystery, Thriller            ",53
3308,A Simple Favor,2018,6.8,67,98667,R,117 min,"Comedy, Crime, Drama            ",68
3309,Halloween,2018,6.6,67,98328,R,106 min,"Horror, Thriller            ",66
3310,The Ballad of Buster Scruggs,2018,7.3,79,96315,R,133 min,"Comedy, Drama, Musical            ",73
3311,Maze Runner: The Death Cure,2018,6.2,50,96196,PG-13,143 min,"Action, Sci-Fi, Thriller            ",62
3312,Pacific Rim: Uprising,2018,5.6,44,93526,PG-13,111 min,"Action, Adventure, Sci-Fi            ",56
3313,Tag,2018,6.5,56,93459,R,100 min,Comedy            ,65
3314,Avengers: Infinity War,2018,8.5,68,717992,PG-13,149 min,"Action, Adventure, Sci-Fi            ",85
3315,Black Panther,2018,7.3,88,546673,PG-13,134 min,"Action, Adventure, Sci-Fi            ",73
3316,Deadpool 2,2018,7.7,66,420281,R,119 min,"Action, Adventure, Comedy            ",77
3317,Bohemian Rhapsody,2018,8,49,387597,PG-13,134 min,"Biography, Drama, Music            ",80
3318,A Quiet Place,2018,7.5,82,328513,PG-13,90 min,"Drama, Horror, Sci-Fi            ",75
3319,Ready Player One,2018,7.5,64,317846,PG-13,140 min,"Action, Adventure, Sci-Fi            ",75
3320,Venom,2018,6.7,35,308403,PG-13,112 min,"Action, Sci-Fi, Thriller            ",67
3321,Aquaman,2018,7,55,305049,PG-13,143 min,"Action, Adventure, Fantasy            ",70
3322,A Star Is Born,2018,7.7,88,280151,R,136 min,"Drama, Music, Romance            ",77
3323,Spider-Man: Into the Spider-Verse,2018,8.4,87,268676,PG,117 min,"Animation, Action, Adventure            ",84
3324,Ant-Man and the Wasp,2018,7.1,70,263706,PG-13,118 min,"Action, Adventure, Comedy            ",71
3325,Green Book,2018,8.2,69,251782,PG-13,130 min,"Biography, Comedy, Drama            ",82
3326,Mission: Impossible - Fallout,2018,7.8,86,249803,PG-13,147 min,"Action, Adventure, Thriller            ",78
3327,Annihilation,2018,6.9,79,242017,R,115 min,"Adventure, Drama, Horror            ",69
3328,Solo: A Star Wars Story,2018,6.9,62,239555,PG-13,135 min,"Action, Adventure, Fantasy            ",69
3329,Bird Box,2018,6.6,51,235416,R,124 min,"Drama, Horror, Sci-Fi            ",66
3330,Jurassic World: Fallen Kingdom,2018,6.2,51,231389,PG-13,128 min,"Action, Adventure, Sci-Fi            ",62
3331,Incredibles 2,2018,7.7,80,217235,PG,118 min,"Animation, Action, Adventure            ",77
3332,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52,182758,PG-13,134 min,"Adventure, Family, Fantasy            ",66
3333,Hereditary,2018,7.3,87,176349,R,127 min,"Drama, Horror, Mystery            ",73
3334,Game Night,2018,6.9,66,172440,R,100 min,"Action, Comedy, Crime            ",69
3335,Tomb Raider,2018,6.3,48,170734,PG-13,119 min,"Action, Adventure, Fantasy            ",63
3336,BlacKkKlansman,2018,7.5,83,166219,R,135 min,"Biography, Crime, Drama            ",75
3337,Ocean's Eight,2018,6.2,61,154647,PG-13,110 min,"Action, Comedy, Crime            ",62
3338,Red Sparrow,2018,6.6,53,144471,R,140 min,"Action, Drama, Thriller            ",66
3339,First Man,2018,7.3,84,136872,PG-13,141 min,"Biography, Drama, History            ",73
3340,The Favourite,2018,7.6,90,133606,R,119 min,"Biography, Drama, History            ",76
3341,The Meg,2018,5.7,46,125300,PG-13,113 min,"Action, Horror, Sci-Fi            ",57
3342,Rampage,2018,6.1,45,122819,PG-13,107 min,"Action, Adventure, Sci-Fi            ",61
3343,Upgrade,2018,7.5,67,116979,R,100 min,"Action, Horror, Sci-Fi            ",75
3344,Isle of Dogs,2018,7.9,82,116007,PG-13,101 min,"Animation, Adventure, Comedy            ",79
3345,Roma,2018,7.8,96,115176,R,135 min,Drama            ,78
3346,Searching,2018,7.7,71,111575,PG-13,102 min,"Drama, Mystery, Thriller            ",77
3347,Crazy Rich Asians,2018,6.9,74,110366,PG-13,120 min,"Comedy, Drama, Romance            ",69
3348,Bumblebee,2018,6.8,66,108659,PG-13,114 min,"Action, Adventure, Sci-Fi            ",68
3349,The Equalizer 2,2018,6.7,50,107436,R,121 min,"Action, Crime, Thriller            ",67
3350,Bad Times at the El Royale,2018,7.1,60,103787,R,141 min,"Crime, Drama, Mystery            ",71
3351,Sicario: Day of the Soldado,2018,7.1,61,103786,R,122 min,"Action, Crime, Drama            ",71
3352,Ralph Breaks the Internet,2018,7.1,71,103685,PG,112 min,"Animation, Adventure, Comedy            ",71
3353,The Predator,2018,5.4,48,102975,R,107 min,"Action, Adventure, Sci-Fi            ",54
3354,The Nun,2018,5.3,46,100165,R,96 min,"Horror, Mystery, Thriller            ",53
3355,A Simple Favor,2018,6.8,67,98667,R,117 min,"Comedy, Crime, Drama            ",68
3356,Halloween,2018,6.6,67,98328,R,106 min,"Horror, Thriller            ",66
3357,The Ballad of Buster Scruggs,2018,7.3,79,96315,R,133 min,"Comedy, Drama, Musical            ",73
3358,Maze Runner: The Death Cure,2018,6.2,50,96196,PG-13,143 min,"Action, Sci-Fi, Thriller            ",62
3359,Pacific Rim: Uprising,2018,5.6,44,93526,PG-13,111 min,"Action, Adventure, Sci-Fi            ",56
3360,Tag,2018,6.5,56,93459,R,100 min,Comedy            ,65
3361,Avengers: Infinity War,2018,8.5,68,717992,PG-13,149 min,"Action, Adventure, Sci-Fi            ",85
3362,Black Panther,2018,7.3,88,546673,PG-13,134 min,"Action, Adventure, Sci-Fi            ",73
3363,Deadpool 2,2018,7.7,66,420281,R,119 min,"Action, Adventure, Comedy            ",77
3364,Bohemian Rhapsody,2018,8,49,387597,PG-13,134 min,"Biography, Drama, Music            ",80
3365,A Quiet Place,2018,7.5,82,328513,PG-13,90 min,"Drama, Horror, Sci-Fi            ",75
3366,Ready Player One,2018,7.5,64,317846,PG-13,140 min,"Action, Adventure, Sci-Fi            ",75
3367,Venom,2018,6.7,35,308403,PG-13,112 min,"Action, Sci-Fi, Thriller            ",67
3368,Aquaman,2018,7,55,305049,PG-13,143 min,"Action, Adventure, Fantasy            ",70
3369,A Star Is Born,2018,7.7,88,280151,R,136 min,"Drama, Music, Romance            ",77
3370,Spider-Man: Into the Spider-Verse,2018,8.4,87,268676,PG,117 min,"Animation, Action, Adventure            ",84
3371,Ant-Man and the Wasp,2018,7.1,70,263706,PG-13,118 min,"Action, Adventure, Comedy            ",71
3372,Green Book,2018,8.2,69,251782,PG-13,130 min,"Biography, Comedy, Drama            ",82
3373,Mission: Impossible - Fallout,2018,7.8,86,249803,PG-13,147 min,"Action, Adventure, Thriller            ",78
3374,Annihilation,2018,6.9,79,242017,R,115 min,"Adventure, Drama, Horror            ",69
3375,Solo: A Star Wars Story,2018,6.9,62,239555,PG-13,135 min,"Action, Adventure, Fantasy            ",69
3376,Bird Box,2018,6.6,51,235416,R,124 min,"Drama, Horror, Sci-Fi            ",66
3377,Jurassic World: Fallen Kingdom,2018,6.2,51,231389,PG-13,128 min,"Action, Adventure, Sci-Fi            ",62
